city,rostelecom
москва,310545
санкт-петербург,194540
нижний новгород,74134
новосибирск,58583
екатеринбург,50131
краснодар,45752
ростов-на-дону,41455
пермь,36732
липецк,36499
омск,35259
воронеж,29660
самара,27112
красноярск,24442
челябинск,24126
челябинский,24126
тюмень,23624
волгоград,22114
иркутск,19560
мурманск,19349
тула,18005
барнаул,17909
ставрополь,17371
владивостокский,16851
владивосток,16332
чебоксары,16211
саратов,16006
калуга,15467
киров,14930
ярославль,14859
сочи,14294
рязань,13999
тольятти,13812
всеволожский район,13657
уфа,13557
хабаровск,13255
архангельск,13098
балашиха,13066
томск,12911
ульяновск,12725
пенза,12428
оренбург,12384
ижевск,12336
владимир,12039
улан-удэ,12020
калининград,11789
смоленск,11664
сыктывкар,11640
сургут,11551
тверь,11263
брянск,11155
казань,10890
белгород,10851
тамбов,10558
чита,10519
люберцы,9968
саранск,9638
курск,9562
вологда,9426
иваново,9361
кемерово,9343
кемеровский,9343
подольск,9239
владикавказ,8989
череповец,8709
одинцовский район,8605
астрахань,8292
орёл,8143
курган,7830
йошкар-ола,7464
мытищи,7450
анапа,7382
нальчик,7366
новороссийск,6964
красногорск,6641
пушкинский район,6546
петрозаводск,6405
петрозаводский,6405
шахты,6373
дзержинск,6311
якутск,6260
кострома,6132
ленинский район,6120
ухта,6054
великий новгород,6049
абакан,6016
ханты-мансийск,5989
таганрог,5863
королёв,5828
новокузнецк,5817
новокузнецкий,5817
братск,5653
химки,5634
раменский район,5569
новочеркасск,5505
благовещенск,5402
магнитогорск,5356
магнитогорский,5356
нижний тагил,5219
северодвинск,5196
богородский,5049
комсомольск-на-амуре,4896
ейский район,4857
геленджик,4805
камышин,4718
бийск,4621
выборгский район,4416
петропавловск-камчатский,4375
псков,4358
березники,4318
березниковский,4318
коломна,4314
коломенский,4314
наро-фоминский,4235
армавир,4166
старый оскол,4162
старооскольский,4162
одинцово,4145
ангарск,4072
ангарский,4072
обнинск,4051
гатчинский район,4013
елец,3965
батайск,3934
дмитровский,3900
щёлковский район,3886
солнечногорский район,3876
махачкала,3742
сызрань,3670
ейск,3648
реутов,3642
туапсинский район,3593
нижневартовск,3584
новый уренгой,3562
серпухов,3517
чехов,3516
ступино,3470
истра,3397
орехово-зуево,3350
энгельсский район,3349
воскресенский район,3319
стерлитамак,3290
сергиево-посадский район,3287
новокуйбышевск,3280
тимашевский район,3277
волжский,3193
чайковский район,3140
тобольск,3101
прокопьевск,3085
прокопьевский,3085
тихорецкий район,3059
кстовский район,3051
уссурийск,3022
уссурийский,3022
элиста,3019
новомосковск,2992
азов,2975
пушкино,2974
волгодонск,2971
пятигорск,2961
воркута,2906
южно-сахалинск,2892
рыбинск,2880
находка,2872
находкинский,2872
туймазинский район,2859
миасс,2845
миасский,2845
ачинск,2820
вяземский район,2767
бердск,2744
салехард,2730
ессентуки,2729
черкесск,2728
саров,2726
рубцовск,2721
кисловодск,2696
муром,2667
мичуринск,2656
каменск-шахтинский,2634
чайковский,2626
орск,2613
щелково,2602
щёлково,2602
нефтекамск,2596
ковров,2588
кавказский район,2556
набережные челны,2547
тосненский район,2541
электросталь,2527
раменское,2525
балахна,2522
балахнинский район,2522
город балахна,2522
бор,2508
белореченский район,2476
боровичский район,2462
клин,2456
новотроицк,2455
павловский район,2447
тимашевск,2443
малоярославецкий район,2438
лобня,2420
ноябрьск,2411
нефтеюганск,2394
крымский район,2389
майкоп,2383
долгопрудный,2382
егорьевск,2367
кировский район,2357
воскресенск,2356
воскресенское,2356
колпинский район,2347
великие луки,2341
сарапул,2341
россошанский район,2339
энгельс,2337
клинцы,2316
берлин,2315
домодедово,2303
павловский посад,2296
югорск,2282
вязьма,2251
златоуст,2246
златоустовский,2246
кузнецк,2236
ивантеевка,2235
биробиджан,2228
арзамас,2221
арзамасский район,2221
боровичи,2219
ногинск,2211
мончегорск,2177
балаковский район,2157
соликамск,2147
кропоткин,2146
первоуральск,2142
новоалтайск,2112
тихорецк,2107
минеральные воды,2082
минераловодский,2082
лиски,2073
лискинский район,2073
учалинский район,2060
кирово-чепецк,2037
новочебоксарск,2032
шебекинский район,2028
выборг,2020
выборгское,2020
сергиев посад,2009
балаково,2001
анжеро-судженск,2001
анжеро-судженский,2001
магадан,1995
белебеевский район,1987
жуковский,1953
кинешма,1952
кашира,1949
ленинск-кузнецкий,1937
видное,1936
белокалитвинский район,1932
михайловка,1924
воткинск,1908
дмитров,1897
будённовский район,1885
новошахтинск,1867
североморск,1858
зато североморск,1858
белореченск,1852
нягань,1844
димитровград,1839
невинномысск,1836
ишим,1830
серов,1799
серовский,1799
бузулук,1776
краснокамск,1756
каменск-уральский,1756
краснокамский район,1756
искитим,1754
петушинский район,1754
колпино,1751
горно-алтайск,1740
тихвинский район,1730
россошь,1708
губкин,1707
губкинский,1707
саяногорск,1683
можайский,1683
надымский район,1676
копейск,1675
копейский,1675
туймазы,1672
советский,1669
советский район,1669
киселёвск,1656
киселёвский,1656
гатчина,1640
гатчинское,1640
дубна,1611
наро-фоминск,1610
павлово,1598
киришский район,1574
зеленоград,1571
шадринск,1571
когалым,1564
александровский район,1563
лесосибирск,1556
нерюнгринский район,1542
свободный,1539
рузский,1535
кызыл,1534
балашовский район,1533
урай,1526
белая калитва,1525
всеволожск,1515
всеволожское,1515
севастополь,1497
славянский район,1491
глазов,1488
лужский район,1487
артём,1486
артёмовский,1486
лабинск,1485
лабинский район,1485
курганинск,1483
приозерский район,1483
курганинский район,1483
яковлевский район,1481
новодвинск,1476
тихвин,1469
тихвинское,1469
будённовск,1468
туапсе,1463
белово,1462
беловский,1462
малоярославец,1457
ревда,1455
шебекино,1444
учалы,1444
кстово,1443
новозыбков,1435
аксай,1433
аксайский район,1433
котлас,1422
выкса,1414
норильск,1403
кингисеппский район,1393
солнечногорск,1390
георгиевск,1388
георгиевский,1388
район печора,1383
белебей,1374
мелеузовский район,1373
минусинск,1363
лебедянь,1361
лебедянский район,1361
балашов,1350
кимры,1333
лыткарино,1332
урюпинск,1325
гуково,1325
лысьва,1306
лысьвенский,1306
волховский район,1304
шуя,1300
шатура,1296
белорецкий район,1295
кириши,1256
киришское,1256
ржев,1253
усолье-сибирское,1253
фрязино,1252
полевской,1231
надым,1223
узловая,1222
салават,1222
узловский район,1222
печора,1217
темрюк,1207
темрюкский район,1207
арсеньев,1188
арсеньевский,1188
крымск,1185
нарьян-мар,1183
гусь-хрустальный,1181
рузаевка,1179
рузаевский район,1179
асбест,1158
асбестовский,1158
новомосковский административный округ,1154
старорусский район,1140
заволжье,1123
городецкий район,1123
город заволжье,1123
курчатов,1122
донецк,1119
славянск-на-кубани,1118
волоколамский район,1116
мегион,1114
ахтубинский район,1107
пыть-ях,1106
гагаринский район,1103
нерюнгри,1099
мелеуз,1099
сосновый бор,1098
сосновоборский,1098
киржачский район,1097
конаковский район,1097
луховицы,1087
ярцевский район,1085
троицк,1083
троицкий,1083
отрадный,1074
козельский район,1071
октябрьский,1070
спасск-дальний,1066
лосино-петровский,1064
тутаевский район,1061
алексеевский район,1058
звенигород,1056
сосногорск,1053
район сосногорск,1053
саткинский район,1047
новоуральск,1030
сибай,1030
новоуральский,1030
усинск,1026
торжок,1024
железногорск,1022
зато железногорск,1022
верхняя пышма,1018
кировск,1015
заринск,1014
переславль-залесский,994
белогорск,993
приморско-ахтарск,990
приморско-ахтарский район,990
старая русса,984
чебаркуль,977
чебаркульский,977
александров,971
белорецк,969
протвино,966
великий устюг,962
великоустюгский район,962
симферополь,961
ярцево,960
амурский район,954
колпашево,951
колпашевский район,951
красный сулин,942
красносулинский район,942
вышний волочёк,940
костомукша,938
костомукшский,938
пушкин,936
усть-илимск,936
можайск,930
апатиты,927
североуральск,925
североуральский,925
дальнегорск,902
дальнегорский,902
ахтубинск,893
угличский район,893
дрезден,879
касимов,879
богородицкий район,865
южноуральск,864
южноуральский,864
черемхово,863
мыски,857
мысковский,857
апшеронск,854
лангепас,854
апшеронский район,854
юрга,851
юргинский,851
дзержинский,849
ирбит,848
гагарин,841
оленегорск,841
нахабино,838
жигулёвск,837
берёзовский,831
зеленогорск,824
зато зеленогорск,824
тутаев,814
советск,809
жирновск,804
жирновский район,804
ялуторовск,803
ефремов,802
аша,800
ашинский район,800
ростов,798
ростовский район,798
электрогорск,797
краснотурьинск,796
тавда,796
тавдинский,796
апрелевка,794
кумертау,793
франкфурт-на-майне,792
алексеевка,792
тында,791
удомельский район,784
сатка,774
кандалакшский район,769
строитель,767
оха,766
«охинский»,766
оса,756
осинский район,756
внуково,753
поселение внуковское,753
волжск,749
ишимбайский район,748
красноуфимск,747
реж,746
режевской,746
тосно,744
тосненское,744
советская гавань,743
советско-гаванский район,743
скопин,732
заполярный,729
печенгский район,729
кыштым,718
барабинск,718
барабинский район,718
кыштымский,718
усть-кутский район,712
новоульяновск,710
енисейск,709
сегежский район,707
полярный,706
краснознаменск,706
зато александровск,706
зато краснознаменск,706
мирный,704
мирнинский район,704
удомля,702
углич,695
валуйки,694
валуйский район,694
вятские поляны,689
усть-кут,685
кингисепп,684
кингисеппское,684
курортный район,677
сестрорецк,677
кольчугино,675
кольчугинский район,675
нижний ломов,674
нижнеломовский район,674
алейск,668
северск,664
сокол,664
сокольский район,664
зато северск,664
козельск,660
маркс,658
марксовский район,658
волоколамск,656
волоколамское,656
киржач,654
луга,653
лужское,653
стрежевой,651
карасук,637
качканар,637
карасукский район,637
качканарский,637
черняховск,633
черняховский,633
кохма,630
николаевск-на-амуре,628
николаевский район,628
семикаракорск,623
семикаракорский район,623
радужный,619
снежинск,616
снежинский,616
лесной,612
старая купавна,612
дербент,610
электроугли,596
сортавальский район,584
балтийск,582
балтийский район,582
вичуга,574
бронницы,571
верхний уфалей,570
верхнеуфалейский,570
сегежа,564
сертолово,562
сертоловское,562
белоярский,561
белоярский район,561
дубовка,560
дубовский район,560
зеленодольск,559
полысаево,557
полысаевский,557
каспийск,550
верхняя салда,549
верхнесалдинский,549
ереван,545
шелехов,544
тайшетский район,544
шелеховский район,544
троицкий административный округ,544
благовещенский район,541
ванино,529
ванинский район,529
рабочий посёлок ванино,529
фурманов,528
фурмановский район,528
карпинск,527
инта,525
зарайск,520
коркино,511
коркинский район,511
нижнекамск,510
кировское,507
амурск,502
гай,500
гайский,500
минск,496
железнодорожный,496
володарск,495
володарский район,495
город володарск,495
цимлянск,489
шумиха,489
цимлянский район,489
шумихинский район,489
хельсинки,487
венёв,487
веневский район,487
жуковка,483
жуковский район,483
онега,482
озёрск,482
алдан,482
онежский район,482
алданский район,482
озёрский,482
онежское,482
бологовский район,478
бокситогорск,476
бокситогорский район,476
бокситогорское,476
пущино,474
междуреченск,474
междуреченский,474
богородицк,470
киев,466
озёры,461
кондопожский район,457
шумерля,454
голицыно,454
зеленоградск,453
зеленоградский,453
приозерск,451
приозерское,451
северобайкальск,450
тайшет,443
беслан,437
правобережный район,437
ишимбай,435
нефтекумск,433
нефтекумский,433
елабуга,425
суздаль,423
суздальский район,423
осташков,421
кандалакша,421
осташковский район,421
каргасок,420
каргасокский район,420
каргасокское сельское поселение,420
валдай,419
валдайский район,419
тулун,417
евпатория,411
сосенский,411
кронштадтский район,409
кронштадт,409
волхов,403
волховское,403
щербинка,401
альметьевск,392
грозный,390
подпорожский район,388
баксан,374
ленск,372
ленский район,372
сортавала,371
сланцевский район,369
холмск,368
холмский,368
покров,362
дедовск,361
усть-катав,359
медвежьегорск,359
медвежьегорский район,359
усть-катавский,359
пестово,358
пестовский район,358
ноглики,356
ногликский,356
руза,353
кагальницкая,347
кагальницкий район,347
кагальницкое сельское поселение,347
пионерский,343
хвалынск,341
хвалынский район,341
керчь,335
ялта,334
невьянск,331
невьянский,331
белоозерский,330
нижнеудинский район,330
белоозёрский,330
кодинск,327
кежемский район,327
феодосия,324
гаврилов-ям,323
гаврилов-ямский район,323
чудово,317
чудовский район,317
ардатов,316
ардатовский район,316
рабочий поселок ардатов,316
назрань,314
петушки,313
собинка,312
кавалерово,312
собинский район,312
кавалеровский район,312
кавалеровское,312
рудня,310
руднянский район,310
хотьково,306
кондопога,304
калязин,301
калязинский район,301
углегорский,299
нижняя тура,291
нижнетуринский,291
кашин,290
кашинский район,290
коряжма,289
бологое,288
беломорск,286
беломорский район,286
пудож,284
пудожский район,284
ломоносов,282
петродворцовый район,282
луганск,280
белоусово,269
сланцы,266
шлиссельбург,266
шлиссельбургское,266
сланцевское,266
александровск-сахалинский,262
александровск-сахалинский район,262
судак,255
кушва,251
кушвинский,251
корсаков,250
корсаковский,250
кубинка,247
серафимович,246
серафимовичский район,246
нью-йорк,236
кемь,236
кемский район,236
фокино,231
тбилиси,225
вашингтон,224
конаково,224
нижнеудинск,221
макеевка,220
углегорск,219
коммунар,218
коммунарское,218
подпорожье,214
подпорожское,214
алматы,209
анадырь,209
быково,205
ташкент,199
березовский район,198
игрим,198
бишкек,197
неман,197
неманский район,197
красноармейск,197
мышкин,192
мышкинский район,192
волосово,189
алушта,189
волосовский район,189
волосовское,189
бугульма,184
мелитополь,176
свердловский район,172
змиёвка,172
питкяранта,166
питкярантский район,166
лахденпохья,165
лахденпохский район,165
правдинский,164
багратионовск,162
багратионовский район,162
южно-курильск,156
южно-курильский,156
витебск,155
магас,155
злынка,154
злынковский район,154
таймырский долгано-ненецкий район,147
дудинка,147
бахчисарайский район,142
гдов,140
гдовский район,140
невельск,139
невельский,139
нур-султан,135
черноголовка,135
загорянский,131
таллин,129
светогорск,124
светогорское,124
поронайск,123
поронайский,123
олекминск,120
олекминский район,120
любим,118
любимский район,118
приморск,117
приморское,117
дно,116
дновский район,116
гомель,114
баку,114
ивангород,114
ивангородское,114
вознесенье,112
вознесенское,112
избербаш,107
анталья,104
приволжск,102
приволжский район,102
мезень,100
мезенский район,100
мезенское,100
хасавюрт,98
усть-баргузин,94
баргузинский район,94
посёлок усть-баргузин,94
батуми,93
тернейский район,93
пластун,93
пластунское,93
покровск,91
хангаласский район,91
пересвет,90
херсон,88
буйнакск,88
чистополь,87
талакан,87
бурейский район,87
посёлок талакан,87
джанкой,86
рига,84
саки,84
горловка,84
харовск,83
харовский район,83
шахтерск,80
павлодар,78
бердянск,76
петропавловск,75
киренск,71
киренский район,71
кизляр,66
карабулак,66
певек,65
красноперекопск,65
лос-анджелес,64
мёнхенгладбах,64
усть-каменогорск,61
щёлкино,61
могилёв,58
караганда,58
брест,57
белград,53
мамоново,53
бобруйск,53
мамоновский,53
гюмри,52
гродно,49
вильнюс,49
стамбул,49
вена,48
кишинев,46
актау,46
мюнхен,45
харцызск,45
тирасполь,44
иерусалим,43
уральск,41
богородское,39
висбаден,39
бахчисарай,38
должанск,38
высоцк,38
высоцкое,38
ванадзор,36
мариуполь,35
костанай,33
хайфа,32
тикси,31
охотск,31
булунский район,31
охотский район,31
рабочий посёлок охотск,31
посёлок тикси,31
шымкент,30
ямбург,30
енакиево,30
одесса,29
атланта,28
кёльн,28
семей,28
армянск,27
алчевск,26
байконур,25
ош,25
дюссельдорф,24
игарка,24
северо-курильск,24
туруханский район,24
северо-курильский,24
орша,23
оршанский район,23
темиртау,22
гамбург,21
полоцк,21
кокшетау,21
полоцкий район,21
штутгарт,20
днепр,19
мозырь,19
мозырский район,19
новая каховка,18
рудный,17
актобе,17
барановичи,17
тараз,17
пинск,17
бендеры,16
мамадыш,16
лисаковск,16
мамадышский район,16
майнц,16
бурабайский район,16
сан-франциско,15
ганновер,15
киль,15
экибастуз,15
сиэтл,14
бостон,14
гунценхаузен,14
чирчик,14
талдыкорган,13
анкара,13
жодино,13
тель-авив,12
светлогорск,12
степногорск,12
риддер,12
светлогорский район,12
городской акимат степногорск,12
логойск,11
поставы,11
лепель,11
жлобин,11
тайынша,11
жлобинский район,11
логойский район,11
лепельский район,11
поставский район,11
тайыншинский район,11
бонн,10
борисов,10
островной,10
борисовский район,10
зато островной,10
талгарский район,10
атырау,9
молодечно,9
слоним,9
кобрин,9
щучинск,9
кобринский район,9
слонимский район,9
молодечненский район,9
карасайский район,9
щучинская городская администрация,9
лейпциг,8
эссен,8
кричев,8
талгар,8
кричевский район,8
харьков,7
рустави,7
балхаш,7
жезказган,7
бельцы,7
андижан,7
абиджан,7
туркестан,7
лида,7
солигорск,7
бурабай,7
алтай,7
ашкелон,7
речицкий район,7
лидский район,7
солигорский район,7
карлсруэ,7
абайский район,7
алтайский район,7
мунайлинский район,7
боровская поселковая администрация,7
львов,6
карши,6
фергана,6
сатис,6
джизак,6
слуцк,6
уштобе,6
приозёрск,6
первомайск,6
калинковичский район,6
дзержинский район,6
слуцкий район,6
стародорожский район,6
старые дороги,6
калинковичи,6
нидеркассель,6
раштатт,6
ришон-ле-цион,6
каратальский район,6
енбекшиказахский район,6
баден-баден,5
новополоцк,5
езерище,5
мстиславль,5
ивацевичи,5
чечерск,5
коргалжын,5
оберхаузен,5
фаниполь,5
ивацевичский район,5
чечерский район,5
мстиславский район,5
городокский район,5
хайльбронн,5
крефельд,5
самсун,5
дудерштадт,5
лимбург-на-лане,5
ремшайд,5
пфорцхайм,5
филлинген-швеннинген,5
илийский район,5
коргалжынский район,5
езерищенский сельсовет,5
коргалжынский сельский округ,5
хмельницкий,4
бухара,4
нюрнберг,4
тарту,4
бурса,4
кызылорда,4
сморгонь,4
быхов,4
новогрудок,4
астраханка,4
каскелен,4
абай,4
сарань,4
шахтинск,4
аксу,4
василевичи,4
брагин,4
брагинский район,4
новогрудский район,4
сморгонский район,4
быховский район,4
эшборн,4
эрфурт,4
кауфбойрен,4
шпайер,4
баунаталь,4
астраханский район,4
оберштауфен,4
астраханский сельский округ,4
запорожье,3
измир,3
речица,3
осиповичи,3
шклов,3
крупки,3
сенно,3
воложин,3
марьина горка,3
волковыск,3
атбасар,3
державинск,3
ерейментау,3
кандыагаш,3
шубаркудук,3
есик,3
отеген-батыр,3
текели,3
жезкент,3
топар,3
регенсбург,3
хемниц,3
магдебург,3
волковысский район,3
осиповичский район,3
шкловский район,3
воложинский район,3
крупский район,3
пуховичский район,3
сенненский район,3
мангейм,3
франкфурт-на-одере,3
хамм,3
рендсбург,3
нидда,3
эрланген,3
бад-зоден,3
шрамберг,3
атбасарский район,3
ерейментауский район,3
жаркаинский район,3
бородулихинский район,3
бурлинский район,3
мугалжарский район,3
темирский район,3
денауский район,3
денау,3
шубаркудукский сельский округ,3
хайдельберг,2
николаев,2
кривой рог,2
бремен,2
потсдам,2
амдерма,2
форт-шевченко,2
ургенч,2
наманган,2
каменское,2
скадовский район,2
лисичанск,2
климовичи,2
глубокое,2
докшицы,2
толочин,2
пружаны,2
фастов,2
скадовск,2
хромтау,2
кабанбай,2
кульсары,2
каркаралинск,2
сатпаев,2
тарановское,2
теренколь,2
шарбакты,2
новоишимское,2
сарыагаш,2
лельчицы,2
бенсхайм,2
дортмунд,2
вюрцбург,2
билефельд,2
бекабад,2
пружанский район,2
лельчицкий район,2
климовичский район,2
глубокский район,2
докшицкий район,2
толочинский район,2
заполярный район,2
ульм,2
гиссен,2
аугсбург,2
ротвайль,2
ахен,2
констанц,2
шверин,2
филлах,2
альсфельд,2
штраубинг,2
гуммерсбах,2
кведлинбург,2
нинбург,2
целле,2
ансбах,2
франкенталь,2
лойткирх,2
херфорд,2
оберурзель,2
райнбек,2
халле,2
энгер,2
алакольский район,2
каркаралинский район,2
теренкольский район,2
шарбактынский район,2
район беимбета майлина,2
район имени габита мусрепова,2
жылыойский район,2
хромтауский район,2
сарыагашский район,2
тупкараганский район,2
герсфельд,2
тиммендорфер-штранд,2
посёлок амдерма,2
ходжейлийский район,2
пружанский сельсовет,2
винница,1
алмалык,1
ровно,1
черновцы,1
кропивницкий,1
санкт-антон-ам-арльберг,1
аркалык,1
линц,1
веймар,1
кременчуг,1
мосты,1
рогачёв,1
верхнедвинск,1
ошмяны,1
заславль,1
горки,1
акколь,1
балкашино,1
жаркент,1
аккистау,1
миялы,1
шу,1
атасу,1
житикара,1
затобольск,1
карабалык,1
айтеке-би,1
шиели,1
бейнеу,1
жанаозен,1
шетпе,1
возвышенка,1
мамлютка,1
пресновка,1
саумалколь,1
кентау,1
дрогичин,1
житковичи,1
кассель,1
фрайбург в брайсгау,1
ангрен,1
дрогичинский район,1
житковичский район,1
рогачёвский район,1
мостовский район,1
ошмянский район,1
горецкий район,1
чаусский район,1
верхнедвинский район,1
минский район,1
чаусы,1
кобленц,1
мюнстер,1
брауншвейг,1
оффенбург,1
бохум,1
вупперталь,1
дуйсбург,1
леверкузен,1
котбус,1
зиген,1
бремерхафен,1
реклингхаузен,1
людвигсхафен-на-рейне,1
эскишехир,1
клагенфурт,1
грац,1
фридрихсхафен,1
фюссен,1
бамберг,1
швайнфурт,1
кобург,1
мюльхаузен,1
зуль,1
букстехуде,1
зоннеберг,1
ален,1
идар-оберштайн,1
лёне,1
люденшайд,1
боркен,1
вадерн,1
нойруппин,1
райне,1
штур,1
аурих,1
нойс,1
бергхайм,1
бергиш-гладбах,1
зигбург,1
ботроп,1
бохольт,1
ханау,1
драйайх,1
нюртинген,1
людвигсбург,1
битигхайм-биссинген,1
райнфельден,1
биберах-на-рисе,1
санкт-ингберт,1
айзенхюттенштадт,1
пирна,1
ведемарк,1
кульмбах,1
хайлигенхаус,1
бад-ольдесло,1
дилленбург,1
людвигсфельде,1
геретсрид,1
унтерхахинг,1
херцогенаурах,1
фатерштеттен,1
шветцинген,1
грос-умштадт,1
панфиловский район,1
жанааркинский район,1
аккольский район,1
сандыктауский район,1
житикаринский район,1
карабалыкский район,1
костанайский район,1
айыртауский район,1
жамбылский район,1
район магжана жумабаева,1
мамлютский район,1
исатайский район,1
кызылкогинский район,1
бейнеуский район,1
мангистауский район,1
шуский район,1
казалинский район,1
шиелийский район,1
ахангаранский район,1
аккольская городская администрация,1
балкашинский сельский округ,1
